# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cpu_core/cycles/'
# Event count (approx.): 3777751798
#
# Overhead  Command  Shared Object      Symbol                                                                                                 
# ........  .......  .................  .......................................................................................................
#
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ee42f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72bddc
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec84
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/host/resource-manager.StatsTraceReporter.consumeEventWithLabelSlice
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a07fa0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995cc9a
     0.01%  p2pd     p2pd               [.] runtime.exitsyscallfast_reacquired
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8986237e
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89950cb3
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8984bccd
     0.01%  p2pd     p2pd               [.] runtime.runqsteal
     0.01%  p2pd     p2pd               [.] runtime.(*sweepLocked).sweep.(*mheap).freeSpan.func3
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cb09df
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff9217
     0.01%  p2pd     p2pd               [.] runtime.deductSweepCredit
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a60d1d9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0c335
     0.01%  p2pd     p2pd               [.] runtime.isAbortPC
     0.01%  p2pd     p2pd               [.] runtime.closechan
     0.01%  p2pd     [vdso]             [.] 0x0000000000000b85
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a1f7
     0.01%  p2pd     p2pd               [.] gogo
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5eca1
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a936d41
     0.01%  p2pd     p2pd               [.] github.com/multiformats/go-multiaddr/net.(*CodecMap).getAddrParser
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a25a00
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8cbc
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a0ab
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89caea84
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae8ce
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c10e
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5f5b2
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff49a9
     0.01%  p2pd     p2pd               [.] encoding/xml.(*Decoder).rawToken
     0.01%  p2pd     p2pd               [.] net/http.(*Request).write
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ae4647
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920a2a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8ac480
     0.01%  p2pd     p2pd               [.] runtime.(*gcControllerState).removeIdleMarkWorker
     0.01%  p2pd     p2pd               [.] runtime.(*mcentral).grow
     0.01%  p2pd     p2pd               [.] runtime.suspendG
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899719d1
     0.01%  p2pd     [nf_conntrack]     [k] nf_confirm
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f8e5f0
     0.01%  p2pd     p2pd               [.] runtime.selunlock
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8984be0d
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a91fb10
     0.01%  p2pd     p2pd               [.] go:(*struct { *net.TCPConn; github.com/multiformats/go-multiaddr/net.maEndpoints }).Write
     0.01%  p2pd     p2pd               [.] runtime.(*gcControllerState).heapGoalInternal
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86bebb
     0.01%  p2pd     p2pd               [.] net.(*netFD).Write
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/host/basic.(*natManager).HasDiscoveredNAT
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a895b03
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998b53f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a663500
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a741a7c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990fb43
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73f6b9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d65
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995da43
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89965281
     0.01%  p2pd     [vdso]             [.] 0x0000000000000b56
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899639ec
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff423c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a91e51a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62ff6f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ef890
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a484b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9375a9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a42d2
     0.01%  p2pd     p2pd               [.] runtime.futexwakeup
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89965784
     0.01%  p2pd     p2pd               [.] runtime.(*gcControllerState).trigger
     0.01%  p2pd     [nf_nat]           [k] nf_nat_inet_fn
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c607de
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899512ca
     0.01%  p2pd     p2pd               [.] net/http.readTransfer
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a61700b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a0a1b
     0.01%  p2pd     p2pd               [.] sync.poolCleanup
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a756ed2
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a8a7
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ed965
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a69f469
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff0329
     0.01%  p2pd     p2pd               [.] runtime.netpollready
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f0de97
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ea838
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b87a10
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a69f49a
     0.01%  p2pd     [nf_conntrack]     [k] tcp_in_window
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa000eb
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8d33c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a9430
     0.01%  p2pd     p2pd               [.] golang.org/x/net/internal/socket.sockaddrToAddr
     0.01%  p2pd     p2pd               [.] runtime.netpollblockcommit
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec37
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec40
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a708fd0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5f1a7
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72ff40
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8da4
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c10b6
     0.01%  p2pd     p2pd               [.] time.now
     0.01%  p2pd     [nf_defrag_ipv4]   [k] ipv4_conntrack_defrag
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b72603
     0.01%  p2pd     p2pd               [.] runtime.signalM
     0.01%  p2pd     p2pd               [.] net/http.(*Transport).replaceReqCanceler
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6d5919
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c6079c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995c040
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ca237d
     0.01%  p2pd     p2pd               [.] runtime.typedmemmove
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a090a5
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-netroute.(*routeSlice).Swap
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89942b39
     0.01%  p2pd     p2pd               [.] runtime.makemap
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff920f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89bd4215
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5e4f6
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995259b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89945496
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ee7b1
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a9bc
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ffd4dc
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899719da
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998b4a8
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f0cf30
     0.01%  p2pd     p2pd               [.] internal/bytealg.IndexByte.abi0
     0.01%  p2pd     p2pd               [.] net/textproto.(*Reader).upcomingHeaderKeys
     0.01%  p2pd     p2pd               [.] strconv.ParseUint
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a81f102
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c112
     0.01%  p2pd     p2pd               [.] syscall.Recvfrom
     0.01%  p2pd     p2pd               [.] runtime.preemptone
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72beea
     0.01%  p2pd     [nf_conntrack]     [k] nf_ct_get_tuple
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a69f2eb
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8c01
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ca7bd
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a07fac
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89947782
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f13200
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a4b82
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a40ea40
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92f2d6
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72b9d2
     0.01%  p2pd     p2pd               [.] runtime.(*mheap).allocNeedsZero
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7aff46
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a606df0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a0711
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6d7107
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f1f30e
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8994301a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cb08b4
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdb07c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d1c85e
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62b09f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e5312
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92eb7a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a608fbe
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998dae6
     0.01%  p2pd     p2pd               [.] runtime.gfget
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7e83b0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a932
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ea10d6
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c0cf2
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5f1fb1
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89beb896
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a743b6a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e3611
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/security/noise.(*secureSession).SetWriteDeadline
     0.01%  p2pd     p2pd               [.] runtime.pidlegetSpinning
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9379bb
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899274fa
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5f37f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89e9c374
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a899a25
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/transport/quicreuse.(*reuse).gc
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/net/swarm.(*Swarm).ListenAddresses
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a136d
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c1d263
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a08b0f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5c280
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899640eb
     0.01%  p2pd     p2pd               [.] polyHashADInternal
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a740d4a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995db51
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7afae9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ca240f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5fca00
     0.01%  p2pd     p2pd               [.] sort.partialInsertionSort
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c208ff
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c58f90
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cd5650
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a7b7483
     0.01%  p2pd     p2pd               [.] runtime.netpolldeadlineimpl
     0.01%  p2pd     p2pd               [.] io.ReadAtLeast
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff9212
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c6050b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e00cf
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86bd7a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89fefb4a
     0.01%  p2pd     p2pd               [.] runtime.publicationBarrier
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8a615
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a936c89
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5eeeaf
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ee7e0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a7ca
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8bf9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae641
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5b478
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92e99e
     0.01%  p2pd     p2pd               [.] internal/poll.runtime_pollReset
     0.01%  p2pd     p2pd               [.] github.com/huin/goupnp/dcps/internetgateway1.(*WANIPConnection1).GetExternalIPAddress
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0c64c
     0.01%  p2pd     p2pd               [.] net/http.(*Transport).dial
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89942a98
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a20fe
     0.01%  p2pd     p2pd               [.] runtime.mapaccess1_fast64
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a81f11e
     0.01%  p2pd     p2pd               [.] runtime.deferreturn
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0d9ba
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899834da
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89bf39b4
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a725
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998b504
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ec8ce
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff90a0
     0.01%  p2pd     p2pd               [.] strings.Cut
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f8e5f6
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a43a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5e467
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c11a0f
     0.01%  p2pd     p2pd               [.] runtime.spanOfHeap
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f0d2c5
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ebdd0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998d0ca
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995fe7c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c89239
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8992bc3d
     0.01%  p2pd     p2pd               [.] runtime.mapdelete_fast64
     0.01%  p2pd     p2pd               [.] runtime.gcMarkDone.func3
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8996526b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89fa21bf
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899425ba
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89be883e
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998ea13
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990d1e0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a7da
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b87834
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79c3e9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a936210
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89953480
     0.01%  p2pd     p2pd               [.] net/http.(*Transport).dialConn
     0.01%  p2pd     p2pd               [.] reflect.valueInterface
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a740c77
     0.01%  p2pd     p2pd               [.] github.com/multiformats/go-multiaddr/net.zoneless
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89b380
     0.01%  p2pd     p2pd               [.] sort.partitionEqual
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990034e
     0.01%  p2pd     p2pd               [.] net.IP.IsLoopback
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89960bf3
     0.01%  p2pd     p2pd               [.] golang.org/x/sys/unix.RecvmsgBuffers
     0.01%  p2pd     p2pd               [.] context.(*timerCtx).Done
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a700b6a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b872d4
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89900390
     0.01%  p2pd     p2pd               [.] runtime.rand
     0.01%  p2pd     p2pd               [.] runtime.(*lockTimer).begin
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79d9f0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89bd4555
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d1ca1f
     0.01%  p2pd     p2pd               [.] runtime.doaddtimer
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa0008f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898acb80
     0.01%  p2pd     p2pd               [.] runtime.morestack.abi0
     0.01%  p2pd     p2pd               [.] runtime.(*mheap).allocMSpanLocked
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c86c2c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a739f1d
     0.01%  p2pd     p2pd               [.] net/http.(*persistConn).Read
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a0c0d
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89950d55
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a897859
     0.01%  p2pd     p2pd               [.] vendor/golang.org/x/net/http/httpguts.PunycodeHostPort
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a26640
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990f57d
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89d1cdf5
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899120e1
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6e91b3
     0.01%  p2pd     p2pd               [.] syscall.getsockname
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898ac131
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995c056
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a741a1b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89c123
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5ec3b9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c8a4b3
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72be70
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a91fbed
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8986238f
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c61973
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ca768c
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6eb884
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898cb94b
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a89b595
     0.01%  p2pd     p2pd               [.] github.com/multiformats/go-multiaddr.ReadVarintCode
     0.01%  p2pd     p2pd               [.] runtime.(*gcWork).dispose
     0.01%  p2pd     p2pd               [.] runtime.(*scavengerState).init.func3
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89964f67
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89959c14
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899caa05
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ca7680
     0.01%  p2pd     p2pd               [.] syscall.newNetlinkRouteRequest
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a740c55
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89933eda
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0c390
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p-kad-dht/internal/net.(*peerMessageSender).SendRequest
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c619db
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6a3675
     0.01%  p2pd     p2pd               [.] github.com/libp2p/go-yamux/v4.(*Session).sendLoop.func2
     0.01%  p2pd     p2pd               [.] time.Since
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898ccf4a
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8995fbb0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92efd0
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c619d0
     0.01%  p2pd     [igc]              [k] igc_tso
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899527be
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998b5c5
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a72bd10
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89ff41eb
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79dc91
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5fb347
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89cdae40
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89942ae6
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89964034
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c818e9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a69f4e7
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89861d5f
     0.01%  p2pd     [nvidia_uvm]       [k] 0x0000000000156a80
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899ca794
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a266c9
     0.01%  p2pd     p2pd               [.] runtime.selparkcommit
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9375e9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89952f90
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a898e01
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89964eb0
     0.01%  p2pd     p2pd               [.] net.(*TCPConn).Close
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0aaae5
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5dba99
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92e9c9
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae636
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8aa00078
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89caf059
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5fc95d
     0.01%  p2pd     p2pd               [.] net/http.(*wantConn).tryDeliver.deferwrap1
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898645ab
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8ca2
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899cac23
     0.01%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c1ce90
